#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
Swap_20,Swap,1,0,2016-10-28,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2015-10-28,2016-10-28,53888.8889,#N/A,#N/A,10000000.0000,0.9854345695,197086.9138930873,1.0000000000,197086.9138930873,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20,Swap,2,0,2017-10-30,Interest,201111.1111,EUR,0.0200000000,1.0055555556,2016-10-28,2017-10-30,0.0000,#N/A,#N/A,10000000.0000,0.9657444077,194221.9308768782,1.0000000000,194221.9308768782,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20,Swap,3,0,2018-10-29,Interest,199444.4444,EUR,0.0200000000,0.9972222222,2017-10-30,2018-10-29,0.0000,#N/A,#N/A,10000000.0000,0.9466410584,188802.2999800709,1.0000000000,188802.2999800709,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20,Swap,4,0,2019-10-28,Interest,199444.4444,EUR,0.0200000000,0.9972222222,2018-10-29,2019-10-28,0.0000,#N/A,#N/A,10000000.0000,0.9278774237,185059.9972750851,1.0000000000,185059.9972750851,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20,Swap,5,0,2020-10-28,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2019-10-28,2020-10-28,0.0000,#N/A,#N/A,10000000.0000,0.9093859194,181877.1838712069,1.0000000000,181877.1838712069,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20,Swap,6,0,2021-10-28,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2020-10-28,2021-10-28,0.0000,#N/A,#N/A,10000000.0000,0.8913120912,178262.4182463254,1.0000000000,178262.4182463254,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20,Swap,7,0,2022-10-28,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2021-10-28,2022-10-28,0.0000,#N/A,#N/A,10000000.0000,0.8735974758,174719.4951500163,1.0000000000,174719.4951500163,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20,Swap,8,0,2023-10-30,Interest,201111.1111,EUR,0.0200000000,1.0055555556,2022-10-28,2023-10-30,0.0000,#N/A,#N/A,10000000.0000,0.8561407537,172179.4182518220,1.0000000000,172179.4182518220,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20,Swap,9,0,2024-10-28,Interest,198888.8889,EUR,0.0200000000,0.9944444444,2023-10-30,2024-10-28,0.0000,#N/A,#N/A,10000000.0000,0.8391719716,166901.9810194379,1.0000000000,166901.9810194379,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20,Swap,10,0,2025-10-28,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2024-10-28,2025-10-28,0.0000,#N/A,#N/A,10000000.0000,0.8224935700,164498.7139943189,1.0000000000,164498.7139943189,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20,Swap,11,0,2026-10-28,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2025-10-28,2026-10-28,0.0000,#N/A,#N/A,10000000.0000,0.8061465784,161229.3156825337,1.0000000000,161229.3156825337,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20,Swap,12,0,2027-10-28,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2026-10-28,2027-10-28,0.0000,#N/A,#N/A,10000000.0000,0.7901246078,158024.9215632479,1.0000000000,158024.9215632479,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
