#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
CVA,DiscountCurve/EUR/0/2W,Up,111748.57,0.000001,#N/A,111758.03,9.46
CVA,DiscountCurve/EUR/1/1M,Up,111748.57,0.000001,#N/A,111637.69,-110.87
CVA,DiscountCurve/EUR/2/3M,Up,111748.57,0.000001,#N/A,111710.47,-38.10
CVA,DiscountCurve/EUR/3/6M,Up,111748.57,0.000001,#N/A,111742.66,-5.91
CVA,DiscountCurve/EUR/4/1Y,Up,111748.57,0.000001,#N/A,111609.13,-139.44
CVA,DiscountCurve/EUR/5/2Y,Up,111748.57,0.000001,#N/A,111649.51,-99.06
CVA,DiscountCurve/EUR/6/3Y,Up,111748.57,0.000001,#N/A,111681.21,-67.36
CVA,DiscountCurve/EUR/7/5Y,Up,111748.57,0.000001,#N/A,111720.97,-27.60
CVA,DiscountCurve/EUR/8/10Y,Up,111748.57,0.000001,#N/A,111668.85,-79.72
CVA,DiscountCurve/EUR/9/15Y,Up,111748.57,0.000001,#N/A,111610.38,-138.18
CVA,DiscountCurve/EUR/10/20Y,Up,111748.57,0.000001,#N/A,111729.55,-19.02
CVA,DiscountCurve/EUR/11/30Y,Up,111748.57,0.000001,#N/A,111716.44,-32.12
CVA,IndexCurve/EUR-EONIA/0/2W,Up,111748.57,0.000001,#N/A,111730.84,-17.73
CVA,IndexCurve/EUR-EONIA/1/1M,Up,111748.57,0.000001,#N/A,111644.38,-104.19
CVA,IndexCurve/EUR-EONIA/2/3M,Up,111748.57,0.000001,#N/A,111754.20,5.63
CVA,IndexCurve/EUR-EONIA/3/6M,Up,111748.57,0.000001,#N/A,111715.36,-33.20
CVA,IndexCurve/EUR-EONIA/4/1Y,Up,111748.57,0.000001,#N/A,111632.71,-115.86
CVA,IndexCurve/EUR-EONIA/5/2Y,Up,111748.57,0.000001,#N/A,111804.38,55.81
CVA,IndexCurve/EUR-EONIA/6/3Y,Up,111748.57,0.000001,#N/A,111588.11,-160.45
CVA,IndexCurve/EUR-EONIA/7/5Y,Up,111748.57,0.000001,#N/A,111645.77,-102.80
CVA,IndexCurve/EUR-EONIA/8/10Y,Up,111748.57,0.000001,#N/A,111677.48,-71.08
CVA,IndexCurve/EUR-EONIA/9/15Y,Up,111748.57,0.000001,#N/A,111688.83,-59.74
CVA,IndexCurve/EUR-EONIA/10/20Y,Up,111748.57,0.000001,#N/A,111686.27,-62.29
CVA,IndexCurve/EUR-EONIA/11/30Y,Up,111748.57,0.000001,#N/A,111780.87,32.30
CVA,IndexCurve/EUR-EURIBOR-3M/0/2W,Up,111748.57,0.000001,#N/A,111774.35,25.79
CVA,IndexCurve/EUR-EURIBOR-3M/1/1M,Up,111748.57,0.000001,#N/A,111639.62,-108.94
CVA,IndexCurve/EUR-EURIBOR-3M/2/3M,Up,111748.57,0.000001,#N/A,111631.09,-117.48
CVA,IndexCurve/EUR-EURIBOR-3M/3/6M,Up,111748.57,0.000001,#N/A,111686.88,-61.69
CVA,IndexCurve/EUR-EURIBOR-3M/4/1Y,Up,111748.57,0.000001,#N/A,111726.90,-21.66
CVA,IndexCurve/EUR-EURIBOR-3M/5/2Y,Up,111748.57,0.000001,#N/A,111629.36,-119.21
CVA,IndexCurve/EUR-EURIBOR-3M/6/3Y,Up,111748.57,0.000001,#N/A,111657.81,-90.75
CVA,IndexCurve/EUR-EURIBOR-3M/7/5Y,Up,111748.57,0.000001,#N/A,111656.29,-92.28
CVA,IndexCurve/EUR-EURIBOR-3M/8/10Y,Up,111748.57,0.000001,#N/A,111665.88,-82.69
CVA,IndexCurve/EUR-EURIBOR-3M/9/15Y,Up,111748.57,0.000001,#N/A,111655.73,-92.84
CVA,IndexCurve/EUR-EURIBOR-3M/10/20Y,Up,111748.57,0.000001,#N/A,111760.99,12.43
CVA,IndexCurve/EUR-EURIBOR-3M/11/30Y,Up,111748.57,0.000001,#N/A,111632.74,-115.83
CVA,IndexCurve/EUR-EURIBOR-6M/0/2W,Up,111748.57,0.000001,#N/A,111680.48,-68.09
CVA,IndexCurve/EUR-EURIBOR-6M/1/1M,Up,111748.57,0.000001,#N/A,111651.22,-97.34
CVA,IndexCurve/EUR-EURIBOR-6M/2/3M,Up,111748.57,0.000001,#N/A,111659.45,-89.11
CVA,IndexCurve/EUR-EURIBOR-6M/3/6M,Up,111748.57,0.000001,#N/A,111572.70,-175.86
CVA,IndexCurve/EUR-EURIBOR-6M/4/1Y,Up,111748.57,0.000001,#N/A,111814.25,65.68
CVA,IndexCurve/EUR-EURIBOR-6M/5/2Y,Up,111748.57,0.000001,#N/A,111808.98,60.42
CVA,IndexCurve/EUR-EURIBOR-6M/6/3Y,Up,111748.57,0.000001,#N/A,111655.50,-93.07
CVA,IndexCurve/EUR-EURIBOR-6M/7/5Y,Up,111748.57,0.000001,#N/A,111679.41,-69.15
CVA,IndexCurve/EUR-EURIBOR-6M/8/10Y,Up,111748.57,0.000001,#N/A,111657.15,-91.41
CVA,IndexCurve/EUR-EURIBOR-6M/9/15Y,Up,111748.57,0.000001,#N/A,111603.91,-144.66
CVA,IndexCurve/EUR-EURIBOR-6M/10/20Y,Up,111748.57,0.000001,#N/A,111577.30,-171.26
CVA,IndexCurve/EUR-EURIBOR-6M/11/30Y,Up,111748.57,0.000001,#N/A,111759.51,10.95
CVA,SwaptionVolatility/EUR/0/1Y/1Y/ATM,Up,111748.57,0.000001,#N/A,111754.09,5.52
CVA,SwaptionVolatility/EUR/8/1Y/15Y/ATM,Up,111748.57,0.000001,#N/A,111698.27,-50.30
CVA,SwaptionVolatility/EUR/9/1Y/20Y/ATM,Up,111748.57,0.000001,#N/A,111630.80,-117.77
CVA,SwaptionVolatility/EUR/10/1Y/30Y/ATM,Up,111748.57,0.000001,#N/A,111604.25,-144.31
