#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
CVA,DiscountCurve/EUR/1/1M,Up,55569300.18,0.000001,#N/A,55569300.18,0.00
CVA,DiscountCurve/EUR/2/3M,Up,55569300.18,0.000001,#N/A,55569300.18,0.00
CVA,DiscountCurve/EUR/3/6M,Up,55569300.18,0.000001,#N/A,55569300.08,-0.10
CVA,DiscountCurve/EUR/4/1Y,Up,55569300.18,0.000001,#N/A,55569300.18,0.00
CVA,DiscountCurve/EUR/5/2Y,Up,55569300.18,0.000001,#N/A,55569299.51,-0.68
CVA,DiscountCurve/EUR/6/3Y,Up,55569300.18,0.000001,#N/A,55569297.40,-2.79
CVA,DiscountCurve/EUR/7/5Y,Up,55569300.18,0.000001,#N/A,55569275.89,-24.29
CVA,DiscountCurve/EUR/8/10Y,Up,55569300.18,0.000001,#N/A,55569170.22,-129.97
CVA,DiscountCurve/EUR/9/15Y,Up,55569300.18,0.000001,#N/A,55568987.93,-312.26
CVA,DiscountCurve/EUR/10/20Y,Up,55569300.18,0.000001,#N/A,55568990.99,-309.20
CVA,IndexCurve/EUR-EONIA/4/1Y,Up,55569300.18,0.000001,#N/A,55569300.36,0.18
CVA,IndexCurve/EUR-EONIA/5/2Y,Up,55569300.18,0.000001,#N/A,55569300.57,0.39
CVA,IndexCurve/EUR-EONIA/6/3Y,Up,55569300.18,0.000001,#N/A,55569301.00,0.81
CVA,IndexCurve/EUR-EONIA/7/5Y,Up,55569300.18,0.000001,#N/A,55569303.83,3.64
CVA,IndexCurve/EUR-EONIA/8/10Y,Up,55569300.18,0.000001,#N/A,55569310.48,10.29
CVA,IndexCurve/EUR-EONIA/9/15Y,Up,55569300.18,0.000001,#N/A,55569319.62,19.43
CVA,IndexCurve/EUR-EONIA/10/20Y,Up,55569300.18,0.000001,#N/A,55569226.44,-73.75
CVA,IndexCurve/EUR-EONIA/11/30Y,Up,55569300.18,0.000001,#N/A,55569300.01,-0.18
CVA,IndexCurve/EUR-EURIBOR-3M/9/15Y,Up,55569300.18,0.000001,#N/A,55569300.78,0.59
CVA,IndexCurve/EUR-EURIBOR-3M/10/20Y,Up,55569300.18,0.000001,#N/A,55569299.39,-0.79
CVA,IndexCurve/EUR-EURIBOR-6M/1/1M,Up,55569300.18,0.000001,#N/A,55569300.47,0.29
CVA,IndexCurve/EUR-EURIBOR-6M/2/3M,Up,55569300.18,0.000001,#N/A,55569308.31,8.12
CVA,IndexCurve/EUR-EURIBOR-6M/3/6M,Up,55569300.18,0.000001,#N/A,55569305.81,5.62
CVA,IndexCurve/EUR-EURIBOR-6M/4/1Y,Up,55569300.18,0.000001,#N/A,55569332.34,32.15
CVA,IndexCurve/EUR-EURIBOR-6M/5/2Y,Up,55569300.18,0.000001,#N/A,55569376.50,76.32
CVA,IndexCurve/EUR-EURIBOR-6M/6/3Y,Up,55569300.18,0.000001,#N/A,55569449.09,148.91
CVA,IndexCurve/EUR-EURIBOR-6M/7/5Y,Up,55569300.18,0.000001,#N/A,55569832.27,532.08
CVA,IndexCurve/EUR-EURIBOR-6M/8/10Y,Up,55569300.18,0.000001,#N/A,55570464.19,1164.00
CVA,IndexCurve/EUR-EURIBOR-6M/9/15Y,Up,55569300.18,0.000001,#N/A,55570147.77,847.58
CVA,IndexCurve/EUR-EURIBOR-6M/10/20Y,Up,55569300.18,0.000001,#N/A,55560361.37,-8938.81
CVA,IndexCurve/EUR-EURIBOR-6M/11/30Y,Up,55569300.18,0.000001,#N/A,55569300.83,0.65
