#Date,EPE,ENE
2016-02-05,41384997.0000,0.0000
2016-02-19,60793875.0433,19408878.0433
2016-03-04,78068889.9553,36683892.9553
2016-03-18,82922380.0006,41537383.0006
2016-04-01,93903042.5326,52518045.5326
2016-04-15,98606230.6693,57221233.6693
2016-04-29,106690484.8908,65103053.4100
2016-05-13,111771439.2716,70184007.7908
2016-05-27,116029823.7478,74442392.2670
2016-06-10,120132612.2393,78545180.7585
2016-06-24,124745753.8492,83158322.3684
2016-07-08,126833194.3794,85245762.8986
2016-07-22,131139064.3438,89551632.8630
2016-08-05,139070943.7360,97483512.2552
2016-08-19,143315871.3916,101728439.9108
2016-09-02,147061942.5478,105474511.0670
2016-09-16,151516052.3980,109928620.9172
2016-09-30,157598805.9680,116011374.4872
2016-10-14,162415120.1113,120827688.6305
2016-10-28,137795299.7958,145250298.3508
2016-11-14,142036108.6429,149491107.1979
2016-11-25,143779560.4872,151234559.0423
2016-12-09,147101877.1407,154556875.6957
2016-12-23,149254011.4682,156709010.0232
2017-01-06,151466770.0656,158921768.6207
2017-01-20,153599476.4840,161054475.0390
2017-02-03,156495751.1018,163950749.6568
2017-02-17,158891743.8731,166346742.4282
2017-03-03,161567177.8132,169022176.3682
2017-03-17,165909974.4883,173364973.0433
2017-03-31,168473441.6896,175928440.2447
2017-04-18,171512849.9119,178967848.4669
2017-04-28,194900885.7629,154295611.5603
2017-05-12,196954308.0480,156349033.8454
2017-05-26,200347483.8185,159742209.6159
2017-06-09,203008753.3161,162403479.1136
2017-06-23,204550204.0922,163944929.8897
2017-07-07,207203893.8760,166598619.6735
2017-07-21,209203317.4513,168598043.2488
2017-08-04,209911270.9249,169305996.7223
2017-08-18,211899801.8474,171294527.6448
2017-09-01,213949242.1810,173343967.9785
2017-09-15,215678789.6465,175073515.4440
2017-09-29,216520813.9780,175915539.7755
2017-10-13,219356381.4507,178751107.2482
2017-10-27,220514023.0119,179908748.8094
2017-11-13,194158699.9192,202420744.0133
2017-11-24,196605404.4969,204867448.5910
2017-12-08,198428556.0448,206690600.1389
2017-12-22,199558699.6467,207820743.7408
2018-01-05,201144905.7121,209406949.8062
2018-01-19,203153368.0796,211415412.1737
2018-02-02,204841247.6415,213103291.7356
2018-02-16,206476781.2355,214738825.3296
2018-03-02,209068533.8002,217330577.8943
2018-03-16,210557377.9107,218819422.0048
2018-04-03,213352850.8512,221614894.9453
2018-04-13,213796202.9596,222058247.0537
2018-04-27,216023564.4124,224285608.5065
2018-05-11,234241365.4169,195065525.9739
2018-05-25,235697384.2621,196521544.8191
2018-06-08,238038599.3559,198862759.9128
2018-06-22,238641763.0962,199465923.6532
2018-07-06,240753510.1985,201577670.7555
2018-07-20,241989554.4869,202813715.0439
2018-08-03,243365713.1588,204189873.7158
2018-08-17,245444502.7557,206268663.3126
2018-08-31,246399708.9802,207223869.5372
2018-09-14,247481413.2993,208305573.8563
2018-09-28,249336379.3749,210160539.9318
2018-10-12,250584800.8237,211408961.3806
2018-10-26,252896448.9951,213720609.5521
2018-11-09,225087686.0077,233224083.9497
2018-11-23,226816165.2426,234952563.1846
2018-12-07,228340902.7042,236477300.6463
2018-12-21,229642890.7044,237779288.6464
2019-01-04,230445003.3982,238581401.3402
2019-01-18,231022097.8850,239158495.8270
2019-02-01,232080968.8693,240217366.8113
2019-02-15,234501715.0882,242638113.0303
2019-03-01,236054569.8980,244190967.8401
2019-03-15,237786662.2268,245923060.1688
2019-03-29,238673057.7768,246809455.7188
2019-04-12,240190919.2604,248327317.2024
2019-04-26,241885611.5931,250022009.5351
2019-05-10,257659694.7713,219013617.8556
2019-05-24,258848219.5073,220202142.5916
2019-06-07,260139391.3871,221493314.4713
2019-06-21,261520196.7029,222874119.7872
2019-07-05,262918376.3733,224272299.4576
2019-07-19,264112226.3348,225466149.4191
2019-08-02,265877342.6140,227231265.6983
2019-08-16,267177836.5534,228531759.6376
2019-08-30,268873743.1440,230227666.2283
2019-09-13,269642884.3076,230996807.3919
2019-09-27,270661834.6638,232015757.7481
2019-10-11,271913296.5351,233267219.6194
2019-10-25,273529366.6037,234883289.6880
2019-11-08,245687310.0621,253342138.2966
2019-11-22,246813295.7007,254468123.9353
2019-12-06,248405657.2615,256060485.4961
2019-12-20,249304097.9054,256958926.1400
2020-01-03,250403012.4533,258057840.6879
2020-01-17,252052352.8085,259707181.0430
2020-01-31,252695809.6044,260350637.8390
2020-02-14,253601744.8038,261256573.0383
2020-02-28,254868454.9752,262523283.2097
2020-03-13,255587842.8262,263242671.0607
2020-03-27,256885366.4506,264540194.6851
2020-04-14,258619434.2185,266274262.4531
2020-04-24,259539870.8338,267194699.0683
2020-05-11,273973163.1080,235814299.9795
2020-05-22,274873219.5141,236714356.3856
2020-06-05,275235681.7718,237076818.6433
2020-06-19,276414148.1771,238255285.0486
2020-07-06,277282275.6443,239123412.5158
2020-07-17,277671852.4156,239512989.2871
2020-07-31,279238883.6624,241080020.5340
2020-08-14,279981564.5941,241822701.4657
2020-08-28,281300706.0170,243141842.8886
2020-09-11,281959709.1555,243800846.0270
2020-09-25,283794442.0828,245635578.9543
2020-10-09,284998315.1512,246839452.0228
2020-10-23,285862936.5373,247704073.4088
2020-11-06,256842609.6326,264305538.0238
2020-11-20,257890434.1093,265353362.5005
2020-12-04,259083577.5231,266546505.9142
2020-12-18,260399385.4397,267862313.8308
2021-01-04,261246412.0007,268709340.3918
2021-01-15,261731505.5348,269194433.9260
2021-01-29,263104314.3065,270567242.6976
2021-02-12,263168201.7567,270631130.1479
2021-02-26,264147603.2863,271610531.6774
2021-03-12,265357700.2844,272820628.6755
2021-03-26,266194783.9542,273657712.3454
2021-04-09,266612663.5694,274075591.9606
2021-04-23,267327496.6185,274790425.0097
2021-05-07,280185863.4632,242896575.1122
2021-05-21,280752388.6498,243463100.2989
2021-06-04,281232912.3224,243943623.9714
2021-06-18,282552385.6650,245263097.3140
2021-07-02,283125215.4187,245835927.0677
2021-07-16,284058640.9960,246769352.6451
2021-07-30,284608526.9335,247319238.5826
2021-08-13,285372856.7603,248083568.4093
2021-08-27,286654774.3780,249365486.0271
2021-09-10,287211841.9168,249922553.5658
2021-09-24,287719650.3791,250430362.0282
2021-10-08,288144208.4983,250854920.1474
2021-10-22,288882198.5086,251592910.1576
2021-11-05,258621714.7202,265755812.5466
2021-11-19,259877274.4423,267011372.2686
2021-12-03,261012267.4823,268146365.3086
2021-12-17,261504148.5072,268638246.3335
2022-01-04,261975783.9496,269109881.7759
2022-01-14,262579113.0635,269713210.8899
2022-01-28,263643142.1336,270777239.9600
2022-02-11,264614636.3823,271748734.2087
2022-02-25,265411610.5318,272545708.3582
2022-03-11,265919091.9435,273053189.7698
2022-03-25,266600608.2736,273734706.1000
2022-04-08,267676030.9902,274810128.8166
2022-04-22,268373190.1186,275507287.9450
2022-05-06,280026137.7985,243137784.9860
2022-05-20,279989914.8454,243101562.0328
2022-06-07,280967387.3328,244079034.5202
2022-06-17,281126834.9618,244238482.1492
2022-07-01,281600101.7719,244711748.9593
2022-07-15,282593658.7744,245705305.9618
2022-07-29,283734042.5446,246845689.7320
2022-08-12,284196170.2249,247307817.4123
2022-08-26,284971508.6546,248083155.8420
2022-09-09,285622851.4928,248734498.6802
2022-09-23,286974659.5463,250086306.7337
2022-10-07,287858070.5631,250969717.7505
2022-10-21,288621935.6936,251733582.8810
2022-11-04,257532132.8918,264238608.1436
2022-11-18,258286615.0490,264993090.3008
2022-12-02,258892819.2799,265599294.5317
2022-12-16,259686612.7508,266393088.0027
2022-12-30,260246318.7596,266952794.0114
2023-01-13,260791143.6805,267497618.9323
2023-01-27,261097504.3114,267803979.5632
2023-02-10,261873947.2145,268580422.4663
2023-02-24,262632842.5862,269339317.8380
2023-03-10,263392144.1896,270098619.4414
2023-03-24,263959672.2927,270666147.5445
2023-04-11,264610016.3990,271316491.6509
2023-04-21,265079537.3285,271786012.5803
2023-05-05,275657087.3506,239065250.1565
2023-05-19,276216482.4095,239624645.2153
2023-06-02,276876738.0434,240284900.8493
2023-06-16,277456772.5065,240864935.3124
2023-06-30,278187425.3966,241595588.2025
2023-07-14,278542307.9708,241950470.7767
2023-07-28,279152044.4834,242560207.2893
2023-08-11,279968901.7417,243377064.5476
2023-08-25,280215644.4411,243623807.2470
2023-09-08,281017091.9355,244425254.7414
2023-09-22,280983679.7885,244391842.5944
2023-10-06,281445953.4273,244854116.2332
2023-10-20,282204876.9051,245613039.7110
2023-11-03,250772324.4421,256833519.3178
2023-11-17,251036166.6512,257097361.5270
2023-12-01,251780212.0150,257841406.8908
2023-12-15,252126798.4715,258187993.3473
2023-12-29,252441233.6351,258502428.5109
2024-01-12,252823822.1563,258885017.0321
2024-01-26,253300568.1786,259361763.0544
2024-02-09,253703740.6996,259764935.5754
2024-02-23,254066252.7746,260127447.6503
2024-03-08,254337094.7837,260398289.6595
2024-03-22,254849596.4537,260910791.3295
2024-04-05,254876569.8931,260937764.7688
2024-04-19,255167896.2179,261229091.0936
2024-05-03,264969673.8805,228617989.8876
