#TradeId,ResultId,ResultType,ResultValue
1:EquityOption,isdaAssetClass,string,Equity
1:EquityOption,isdaBaseProduct,string,Other
1:EquityOption,isdaSubProduct,string,
1:EquityOption,isdaTransaction,string,
1:EquityOption,BlackScholes.CalibrationStrike_EQ-RIC:.STOXX50E,string,4350.000000
1:EquityOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-07,double,4337.500000
1:EquityOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-07,double,4378.773505
1:EquityOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-07,double,0.161791
1:EquityOption,cashFlowResults[0],cashflows,154625.046496 EUR @ 2023-11-07
1:EquityOption,currentNotional,double,4350000.000000
1:EquityOption,instMultiplier,double,1.000000
1:EquityOption,notionalCurrency,string,EUR
2:EquityBarrierOption,isdaAssetClass,string,Equity
2:EquityBarrierOption,isdaBaseProduct,string,Other
2:EquityBarrierOption,isdaSubProduct,string,
2:EquityBarrierOption,isdaTransaction,string,
2:EquityBarrierOption,Active,double,1.000000
2:EquityBarrierOption,BlackScholes.CalibrationStrike_EQ-RIC:.STOXX50E,string,4350.000000
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-07,double,4337.500000
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-08,double,4337.940136
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-09,double,4338.379869
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-10,double,4338.819647
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-11,double,4339.259470
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-14,double,4340.579205
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-15,double,4341.019206
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-16,double,4341.459251
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-17,double,4341.899343
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-18,double,4342.339479
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-21,double,4343.660154
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-22,double,4344.100469
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-23,double,4344.540828
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-24,double,4344.981232
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-25,double,4345.421681
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-28,double,4346.743297
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-29,double,4347.183925
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-30,double,4347.624597
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-31,double,4348.065457
