#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
1:EquityOption,false,DiscountCurve/EUR/2/3M,0.000100,,0.000000,EUR,153167.58,-3.86,#N/A
1:EquityOption,false,IndexCurve/EUR-ESTER/2/3M,0.000100,,0.000000,EUR,153167.58,60.17,#N/A
1:EquityOption,false,EquitySpot/RIC:.STOXX50E/0/spot,4.337500,,0.000000,EUR,153167.58,2386.76,#N/A
1:EquityOption,false,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,0.000162,,0.000000,EUR,153167.58,92.83,#N/A
1:EquityOption,false,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,0.000160,,0.000000,EUR,153167.58,44.73,#N/A
2:EquityBarrierOption,false,DiscountCurve/EUR/2/3M,0.000100,,0.000000,EUR,155611.58,-3.92,#N/A
2:EquityBarrierOption,false,IndexCurve/EUR-ESTER/2/3M,0.000100,,0.000000,EUR,155611.58,60.14,#N/A
2:EquityBarrierOption,false,EquitySpot/RIC:.STOXX50E/0/spot,4.337500,,0.000000,EUR,155611.58,2385.17,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/61/1M/-0.1,0.000159,,0.000000,EUR,155611.58,0.88,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,0.000162,,0.000000,EUR,155611.58,95.65,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/72/2W/-0.05,0.000163,,0.000000,EUR,155611.58,-0.03,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/73/1M/-0.05,0.000158,,0.000000,EUR,155611.58,-1.67,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,0.000160,,0.000000,EUR,155611.58,45.55,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/84/2W/ATM,0.000163,,0.000000,EUR,155611.58,1.43,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/85/1M/ATM,0.000157,,0.000000,EUR,155611.58,-2.60,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/86/3M/ATM,0.000157,,0.000000,EUR,155611.58,0.25,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/96/2W/0.05,0.000163,,0.000000,EUR,155611.58,-0.35,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/97/1M/0.05,0.000157,,0.000000,EUR,155611.58,1.06,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/108/2W/0.1,0.000162,,0.000000,EUR,155611.58,0.77,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/120/2W/0.25,0.000160,,0.000000,EUR,155611.58,-0.87,#N/A
2:EquityBarrierOption,false,EquityVolatility/RIC:.STOXX50E/132/2W/0.5,0.000155,,0.000000,EUR,155611.58,0.23,#N/A
3:EquityAccumulator,false,DiscountCurve/EUR/4/1Y,0.000100,,0.000000,EUR,595316.20,-9.79,#N/A
3:EquityAccumulator,false,DiscountCurve/EUR/5/2Y,0.000100,,0.000000,EUR,595316.20,-27.76,#N/A
3:EquityAccumulator,false,DiscountCurve/EUR/6/3Y,0.000100,,0.000000,EUR,595316.20,-54.22,#N/A
3:EquityAccumulator,false,DiscountCurve/EUR/7/5Y,0.000100,,0.000000,EUR,595316.20,-89.24,#N/A
3:EquityAccumulator,false,DiscountCurve/EUR/8/10Y,0.000100,,0.000000,EUR,595316.20,-0.13,#N/A
3:EquityAccumulator,false,IndexCurve/EUR-ESTER/4/1Y,0.000100,,0.000000,EUR,595316.20,57.78,#N/A
3:EquityAccumulator,false,IndexCurve/EUR-ESTER/5/2Y,0.000100,,0.000000,EUR,595316.20,117.30,#N/A
3:EquityAccumulator,false,IndexCurve/EUR-ESTER/6/3Y,0.000100,,0.000000,EUR,595316.20,318.06,#N/A
3:EquityAccumulator,false,IndexCurve/EUR-ESTER/7/5Y,0.000100,,0.000000,EUR,595316.20,394.59,#N/A
3:EquityAccumulator,false,IndexCurve/EUR-ESTER/8/10Y,0.000100,,0.000000,EUR,595316.20,0.71,#N/A
3:EquityAccumulator,false,EquitySpot/RIC:.STOXX50E/0/spot,4.337500,,0.000000,EUR,595316.20,2676.24,#N/A
3:EquityAccumulator,false,EquityVolatility/RIC:.STOXX50E/0/2W/-3,0.000218,,0.000000,EUR,595316.20,0.66,#N/A
3:EquityAccumulator,false,EquityVolatility/RIC:.STOXX50E/12/2W/-2,0.000218,,0.000000,EUR,595316.20,0.77,#N/A
