#TradeId,ResultId,ResultType,ResultValue
4:AsianBasketOption,isdaAssetClass,string,Equity
4:AsianBasketOption,isdaBaseProduct,string,Other
4:AsianBasketOption,isdaSubProduct,string,
4:AsianBasketOption,isdaTransaction,string,
4:AsianBasketOption,BlackScholes.CalibrationStrike_EQ-RIC:.SPX,string,ATMF
4:AsianBasketOption,BlackScholes.CalibrationStrike_EQ-RIC:.STOXX50E,string,ATMF
4:AsianBasketOption,BlackScholes.Correlation_EQ-RIC:.STOXX50E_EQ-RIC:.SPX,double,0.542737
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-08-07,double,4518.443400
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-16,double,4558.167230
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-17,double,4558.766822
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-18,double,4559.367269
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-19,double,4559.972782
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-20,double,4560.579152
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-23,double,4562.201393
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-24,double,4562.740323
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-25,double,4563.278345
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-26,double,4563.815457
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-27,double,4564.351660
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-30,double,4565.954809
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-10-31,double,4566.487371
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-11-01,double,4567.004250
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-11-02,double,4567.519871
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-11-03,double,4568.034233
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2023-11-06,double,4569.569761
