#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
4:AsianBasketOption,DiscountCurve/EUR/4/1Y,Up,1986212.55,0.000100,#N/A,1986053.77,-158.78
4:AsianBasketOption,DiscountCurve/EUR/5/2Y,Up,1986212.55,0.000100,#N/A,1986131.91,-80.65
4:AsianBasketOption,IndexCurve/EUR-ESTER/0/2W,Up,1986212.55,0.000100,#N/A,1986212.56,0.00
4:AsianBasketOption,IndexCurve/EUR-ESTER/1/1M,Up,1986212.55,0.000100,#N/A,1986213.56,1.00
4:AsianBasketOption,IndexCurve/EUR-ESTER/2/3M,Up,1986212.55,0.000100,#N/A,1986221.59,9.04
4:AsianBasketOption,IndexCurve/EUR-ESTER/3/6M,Up,1986212.55,0.000100,#N/A,1986051.98,-160.58
4:AsianBasketOption,IndexCurve/EUR-ESTER/4/1Y,Up,1986212.55,0.000100,#N/A,1986127.33,-85.22
4:AsianBasketOption,IndexCurve/EUR-ESTER/5/2Y,Up,1986212.55,0.000100,#N/A,1986224.43,11.87
4:AsianBasketOption,IndexCurve/USD-SOFR/0/2W,Up,1986212.55,0.000100,#N/A,1986212.47,-0.09
4:AsianBasketOption,IndexCurve/USD-SOFR/1/1M,Up,1986212.55,0.000100,#N/A,1986213.66,1.10
4:AsianBasketOption,IndexCurve/USD-SOFR/2/3M,Up,1986212.55,0.000100,#N/A,1986256.62,44.07
4:AsianBasketOption,IndexCurve/USD-SOFR/3/6M,Up,1986212.55,0.000100,#N/A,1986450.94,238.39
4:AsianBasketOption,IndexCurve/USD-SOFR/4/1Y,Up,1986212.55,0.000100,#N/A,1986760.12,547.56
4:AsianBasketOption,IndexCurve/USD-SOFR/5/2Y,Up,1986212.55,0.000100,#N/A,1986259.15,46.60
4:AsianBasketOption,EquitySpot/RIC:.SPX/0/spot,Up,1986212.55,4.518443,#N/A,1998474.72,12262.17
4:AsianBasketOption,EquitySpot/RIC:.STOXX50E/0/spot,Up,1986212.55,4.337500,#N/A,1981104.56,-5107.99
4:AsianBasketOption,EquitySpot/RIC:.SPX/0/spot,Down,1986212.55,4.518443,#N/A,1974139.84,-12072.71
4:AsianBasketOption,EquitySpot/RIC:.STOXX50E/0/spot,Down,1986212.55,4.337500,#N/A,1992890.13,6677.57
4:AsianBasketOption,EquityVolatility/RIC:.SPX/84/2W/ATM,Up,1986212.55,0.000117,#N/A,1986215.25,2.70
4:AsianBasketOption,EquityVolatility/RIC:.SPX/85/1M/ATM,Up,1986212.55,0.000124,#N/A,1986212.22,-0.33
4:AsianBasketOption,EquityVolatility/RIC:.SPX/86/3M/ATM,Up,1986212.55,0.000134,#N/A,1986333.82,121.27
4:AsianBasketOption,EquityVolatility/RIC:.SPX/87/6M/ATM,Up,1986212.55,0.000144,#N/A,1986584.09,371.54
4:AsianBasketOption,EquityVolatility/RIC:.SPX/88/1Y/ATM,Up,1986212.55,0.000165,#N/A,1986541.58,329.02
4:AsianBasketOption,EquityVolatility/RIC:.SPX/89/2Y/ATM,Up,1986212.55,0.000184,#N/A,1986218.50,5.95
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/84/2W/ATM,Up,1986212.55,0.000163,#N/A,1986209.27,-3.29
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/85/1M/ATM,Up,1986212.55,0.000157,#N/A,1986215.40,2.84
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/86/3M/ATM,Up,1986212.55,0.000157,#N/A,1986348.71,136.16
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/87/6M/ATM,Up,1986212.55,0.000159,#N/A,1986646.02,433.46
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/88/1Y/ATM,Up,1986212.55,0.000169,#N/A,1986487.97,275.42
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/89/2Y/ATM,Up,1986212.55,0.000204,#N/A,1986225.11,12.56
4:AsianBasketOption,EquityVolatility/RIC:.SPX/84/2W/ATM,Down,1986212.55,0.000117,#N/A,1986209.84,-2.72
4:AsianBasketOption,EquityVolatility/RIC:.SPX/85/1M/ATM,Down,1986212.55,0.000124,#N/A,1986212.87,0.31
4:AsianBasketOption,EquityVolatility/RIC:.SPX/86/3M/ATM,Down,1986212.55,0.000134,#N/A,1986090.98,-121.58
4:AsianBasketOption,EquityVolatility/RIC:.SPX/87/6M/ATM,Down,1986212.55,0.000144,#N/A,1985841.25,-371.30
4:AsianBasketOption,EquityVolatility/RIC:.SPX/88/1Y/ATM,Down,1986212.55,0.000165,#N/A,1985883.68,-328.87
4:AsianBasketOption,EquityVolatility/RIC:.SPX/89/2Y/ATM,Down,1986212.55,0.000184,#N/A,1986206.63,-5.92
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/84/2W/ATM,Down,1986212.55,0.000163,#N/A,1986215.81,3.26
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/85/1M/ATM,Down,1986212.55,0.000157,#N/A,1986209.62,-2.94
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/86/3M/ATM,Down,1986212.55,0.000157,#N/A,1986076.10,-136.45
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/87/6M/ATM,Down,1986212.55,0.000159,#N/A,1985779.23,-433.32
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/88/1Y/ATM,Down,1986212.55,0.000169,#N/A,1985937.52,-275.03
4:AsianBasketOption,EquityVolatility/RIC:.STOXX50E/89/2Y/ATM,Down,1986212.55,0.000204,#N/A,1986199.94,-12.61
