#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
4:AsianBasketOption,false,DiscountCurve/EUR/4/1Y,0.000100,,0.000000,EUR,1986212.55,-158.78,#N/A
4:AsianBasketOption,false,DiscountCurve/EUR/5/2Y,0.000100,,0.000000,EUR,1986212.55,-80.65,#N/A
4:AsianBasketOption,false,IndexCurve/EUR-ESTER/0/2W,0.000100,,0.000000,EUR,1986212.55,0.00,#N/A
4:AsianBasketOption,false,IndexCurve/EUR-ESTER/1/1M,0.000100,,0.000000,EUR,1986212.55,1.00,#N/A
4:AsianBasketOption,false,IndexCurve/EUR-ESTER/2/3M,0.000100,,0.000000,EUR,1986212.55,9.04,#N/A
4:AsianBasketOption,false,IndexCurve/EUR-ESTER/3/6M,0.000100,,0.000000,EUR,1986212.55,-160.58,#N/A
4:AsianBasketOption,false,IndexCurve/EUR-ESTER/4/1Y,0.000100,,0.000000,EUR,1986212.55,-85.22,#N/A
4:AsianBasketOption,false,IndexCurve/EUR-ESTER/5/2Y,0.000100,,0.000000,EUR,1986212.55,11.87,#N/A
4:AsianBasketOption,false,IndexCurve/USD-SOFR/0/2W,0.000100,,0.000000,EUR,1986212.55,-0.09,#N/A
4:AsianBasketOption,false,IndexCurve/USD-SOFR/1/1M,0.000100,,0.000000,EUR,1986212.55,1.10,#N/A
4:AsianBasketOption,false,IndexCurve/USD-SOFR/2/3M,0.000100,,0.000000,EUR,1986212.55,44.07,#N/A
4:AsianBasketOption,false,IndexCurve/USD-SOFR/3/6M,0.000100,,0.000000,EUR,1986212.55,238.39,#N/A
4:AsianBasketOption,false,IndexCurve/USD-SOFR/4/1Y,0.000100,,0.000000,EUR,1986212.55,547.56,#N/A
4:AsianBasketOption,false,IndexCurve/USD-SOFR/5/2Y,0.000100,,0.000000,EUR,1986212.55,46.60,#N/A
4:AsianBasketOption,false,EquitySpot/RIC:.SPX/0/spot,4.518443,,0.000000,EUR,1986212.55,12167.44,#N/A
4:AsianBasketOption,false,EquitySpot/RIC:.STOXX50E/0/spot,4.337500,,0.000000,EUR,1986212.55,-5892.78,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.SPX/84/2W/ATM,0.000117,,0.000000,EUR,1986212.55,2.71,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.SPX/85/1M/ATM,0.000124,,0.000000,EUR,1986212.55,-0.32,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.SPX/86/3M/ATM,0.000134,,0.000000,EUR,1986212.55,121.42,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.SPX/87/6M/ATM,0.000144,,0.000000,EUR,1986212.55,371.42,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.SPX/88/1Y/ATM,0.000165,,0.000000,EUR,1986212.55,328.95,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.SPX/89/2Y/ATM,0.000184,,0.000000,EUR,1986212.55,5.94,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.STOXX50E/84/2W/ATM,0.000163,,0.000000,EUR,1986212.55,-3.27,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.STOXX50E/85/1M/ATM,0.000157,,0.000000,EUR,1986212.55,2.89,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.STOXX50E/86/3M/ATM,0.000157,,0.000000,EUR,1986212.55,136.31,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.STOXX50E/87/6M/ATM,0.000159,,0.000000,EUR,1986212.55,433.39,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.STOXX50E/88/1Y/ATM,0.000169,,0.000000,EUR,1986212.55,275.23,#N/A
4:AsianBasketOption,false,EquityVolatility/RIC:.STOXX50E/89/2Y/ATM,0.000204,,0.000000,EUR,1986212.55,12.58,#N/A
