#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
1:EquityOption,DiscountCurve/EUR/2/3M,Up,153166.04,0.000100,#N/A,153162.19,-3.85
1:EquityOption,IndexCurve/EUR-ESTER/2/3M,Up,153166.04,0.000100,#N/A,153227.50,61.46
1:EquityOption,EquitySpot/RIC:.STOXX50E/0/spot,Up,153166.04,4.337500,#N/A,155563.47,2397.42
1:EquityOption,EquitySpot/RIC:.STOXX50E/0/spot,Down,153166.04,4.337500,#N/A,150790.31,-2375.73
1:EquityOption,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,Up,153166.04,0.000162,#N/A,153260.40,94.36
1:EquityOption,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,Up,153166.04,0.000160,#N/A,153211.34,45.30
1:EquityOption,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,Down,153166.04,0.000162,#N/A,153073.98,-92.07
1:EquityOption,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,Down,153166.04,0.000160,#N/A,153123.03,-43.01
2:EquityBarrierOption,DiscountCurve/EUR/2/3M,Up,155609.79,0.000100,#N/A,155605.88,-3.91
2:EquityBarrierOption,IndexCurve/EUR-ESTER/1/1M,Up,155609.79,0.000100,#N/A,155634.82,25.03
2:EquityBarrierOption,IndexCurve/EUR-ESTER/2/3M,Up,155609.79,0.000100,#N/A,155664.40,54.61
2:EquityBarrierOption,EquitySpot/RIC:.STOXX50E/0/spot,Up,155609.79,4.337500,#N/A,158006.67,2396.88
2:EquityBarrierOption,EquitySpot/RIC:.STOXX50E/0/spot,Down,155609.79,4.337500,#N/A,153236.71,-2373.08
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/72/2W/-0.05,Up,155609.79,0.000163,#N/A,155609.76,-0.04
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/84/2W/ATM,Up,155609.79,0.000163,#N/A,155618.05,8.25
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/96/2W/0.05,Up,155609.79,0.000163,#N/A,155611.71,1.92
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/108/2W/0.1,Up,155609.79,0.000162,#N/A,155610.53,0.73
